BIL,NAMA SYARIKAT,ALAMAT,KOD BENGKEL (BKA642J***J***),TARIKH SAH LAKU,KATEGORI,RUJ. SIJIL,NO TEL,EMAIL,SYARIKAT PERUNDING,JURUTERA PROFESIONAL,AKTIVITI BENGKEL,Negeri,Tempoh Sah
4,FEDERAL VEHICLE BODY BUILDERS SDN. BHD.,"No. 14, Jalan Berkat 7,Taman Malim Jaya,75250 Melaka.",BKA654M004J008,3-Oct-23,A,(04)Jld.37,06-3359975,federal_vehicle.bb@hotmail.com,ARZ CONSULTING ENGINEERS SDN BHD,IR. HJ. ABDUL RAHMAN BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid,  Van Dan Treler Sahaja.",Melaka,Laku
5,FETTA AUTO PART INDUSTRIES (M) SDN BHD.,"No 665-1, Kawasan Perindustrian Bukit Rambai, 75260 Melaka, Melaka.",BKA654M009J009,5-July-22,A,(02)Jld.21,06-3517352,kennysiew.mktg@gmail.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:

1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Pick-Up Dan Lori Rigid Sahaja.
2. Pemasangan Motosikal Elektrik Sahaja.
3. Pembuatan Kerangka Casis Dan Badan Kenderaan Category G - Off Road Vehicle.
",Melaka,Laku
6,HARVARD WORLD SDN. BHD.,"No 5, Jalan TTC 33 Kawasan Perindustrian Cheng, 75250 Melaka.",BKA654M005J009,12-Sep-23,A,(18)Jld.35,06-3351290,N/A,ARZ CONSULTING ENGINEERS SDN BHD,IR. HJ. ABDUL RAHMAN BIN HASHIM,"AKTIVITI:
1. Pembinaan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Dan Tanker Sahaja.",Melaka,Laku
7,TIAM HONG WORKSHOP SDN BHD,"JB 1129,Kawasan Perindustrian Merlimau 3, 77300 Merlimau, Melaka",BKA654M06J009,27-Sep-23,A,(26)JLD 36,06-2632779,tiamyeng.merlimau@gmail.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Dan Treler Sahaja.",Melaka,Laku
8,TIAM YENG SDN. BHD.,"Lot 2225, Mukim Merlimau,77300 Melaka.",BKA642M007J008,24-Jun-12,A,,,,,,,Melaka,Tamat
9,YONMING AUTO (MELAKA) SDN. BHD.,"No 9 & 11, Jalan TTC 19, Taman Teknologi Cheng, 75250 Melaka",BKA654M008J009,13-Sep-23,B,(02) Jld.36,06-3362668,ymml@yonming.com,FCC CONSULTING ENGINEER,DATO IR. FOONG CHOY CHYE,"AKTIVITI:
1. Baik Pulih Dan Pengubahsuaian Teknikal Bagi Semua Jenis Trak (Rigid Truck) Dan Penggerak Utama (Prime Mover) Sahaja.",Melaka,Laku
1,A-PLUS MANUFACTURING SDN BHD,"Lot 6397, Jalan Technvalley 2/,1, Sendayan Techavalley, Bandar Sri Sandayan, 71950 Seremban, Negeri Sembilan.",BKA654N020J025,21-Nov-23,A,(16) Jld.38,03-27702525,sales@aplusgroup.com.my,MNFF ENGINEERING SERVICES,IR MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Kenderaan Rigid Decontrolled Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.
3. Membina Jentera Pertanian, Comp",Negeri Sembilan,Laku
2,DEFENCE SERVICES SDN BHD.,"Lot 1479, Kawasan Industri Nilai 1, 71800 Nilai, Negeri Sembilan.",BKA654N022J025,15-Nov-23,A,(08) Jld.39,06-7992255,hidayatulhh@dssb.com.my,TRANSTECH CONSULTING ENGINEERING,IR. SAIFULA AZIZI B. MOHAMAD SAAD,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van, Tanker, Treler Dan Kenderaan Tentera Sahaja.",Negeri Sembilan,Laku
3,DICKSON ENGINEERING WORKS SDN BHD,"Lot 13746, Jalan Kuala Sawah, Batu 5, 70300 Seremban, Negeri Sembilan",BKA654N023J025,21-Feb-24,A,(30) Jld.41,016-9292177,dicksoninonworks@hotmail.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Dan Box/Luton Van Sahaja.
2. Pembinaan Semua Jenis Treler/Tanker Baru Dan Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Negeri Sembilan,Laku
4,DICKSON IRON WORKS SDN BHD,"Lot 13746-A, Jalan Kuala Sawah, Batu 5, 70300 Seremban, Negeri Sembilan",BKA654N001J023,21-Apr-23,A,(44) Jld.31,016-9292177,dicksoninonworks@hotmail.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid.
2. Pembinaan Semua Jenis Treler/Tanker Baru Dan Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.
3. Pembinaan Dan Pengubahsua",Negeri Sembilan,Laku
5,FIRAMA ENGINEERING BERHAD,"Lot 714, Batu 5, Jalan Kuala Pilah,70450 Seremban, Negeri Sembilan.",BKA654N002J022,14-Dec-22,A,(08)Jld.28,06-6772623,firama08@gmail.com,EMSTRA CONSULTANCY,IR. YONG KEE SIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Dan Kenderaan Decontrolled Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Negeri Sembilan,Laku
6,HWA KEE ENGINEERING SDN BHD,"Lot 16381, Batu 5 ½, Jalan Kuala Sawah,70300 Seremban, Negeri Sembilan.",BKA654N003J023,1-Apr-23,A,(14)Jld.31,06-6323958,N/A,TRANSTECH CONSULTING ENGINEERING,IR. SAIFULA AZIZI B. MOHAMAD SAAD,"AKTIVITI:
1. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Negeri Sembilan,Laku
7,INSAN INOVATIF (M) SDN BHD,"No 48, Lorong P/AM 3/1, Arab Malaysian Industrial Park, 71000 Nilai, Negeri Sembilan.",BKA654N004J022,8-Oct-22,A,(16)Jld. 25,018-4062883,insaninovatif@gmail.com,MENARA TEKNIK,IR. HJ. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid, Skylift Dan Drawbar Treler Sahaja. ",Negeri Sembilan,Laku
8,JI-AUTO SDN. BHD.,"Lot 5742, Batu 5 1/2, Jalan Kuala Sawah,70300 Seremban,Negeri Sembilan.",BKA642N005J019,13-Nov-16,A,(4)JLD. 130,06-6328418,jithra1979@yahoo.com,PERUNDING BJM,IR. LOH THIM THAK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Negeri Sembilan,Tamat
9,KITAR AUTO & ENGINEERING SDN BHD.,"Lot 2120 Sri Senawang Light Industries Centre, Batu 4 1/2 Jalan Tampin, 70450 Seremban, Negeri Sembilan",BKA642N006J019,31-May-19,A,(06) Jld.151,06-6757098,kitar2sb@gmail.com,AAREC CONSULTANT,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid/Van Dan Treler/Tanker Sahaja.",Negeri Sembilan,Tamat
10,MAJU ENGINEERING SERVICES SDN BHD.,"PT 6307-A,Jalan Techvalley 2/1, Sendayan Techvalley, 71950 Bandar Sri Sendayan, Negeri Sembilan Darul Khusus.",BKA654N024J024,3-May-22,A,(16) Jld.32,016-2111913,marketing@messb.com.my,FCC CONSULTING ENGINEER,DATO IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van Dan Curtain Sider Sahaja.
2. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Dan Tanker Sahaja.",Negeri Sembilan,Laku
11,MANQUIP INDUSTRIES SDN BHD.,"Lot 1298, Batu 4, KgAnak Air Garam. Mambau, 70300 Seremban, Negeri Sembilan.",BKA654N007J023,2-Feb-23,A,(18)JLD. 29,016-2197334,manquip@hotmail.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van Dan Curtain SiderSahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Negeri Sembilan,Laku
12,OPK INTER-CORPORATION SDN. BHD.,"Lot No. 21A, Jalan Bunga Tanjung,Senawang Industrial Park,70400 Seremban, Negeri Sembilan.",BKA642N008J019,22-Mar-11,A,,,,,,,Negeri Sembilan,Tamat
13,P. K WAWASAN SETIA SDN BHD.,"Lot 613, Jalan Kuala Sawah, Batu 6, 71200 Rantau, Negeri Sembilan.",BKA654N009J020,10-Mar-21,A,(20)Jld. 7,06-6310652,pk.wawasan_setia@yahoo.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Dan Kenderaan Decontrolled Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Te",Negeri Sembilan,Tamat
14,PRO K ENGINEERING SDN BHD.,"Lot 35338, Persiaran Pusat Bandar, Kawasan Industri Mini, 71800 Nilai, Negeri Sembilan.",BKA654N009J022,27-Sep-22,A,(20)JLD. 22,06-7971185,prokenineeringsdnbhd,DESATIC ENGINEERING SERVICE,IR. CHOW SEI YING,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Tanker Dan Treler Sahaja.",Negeri Sembilan,Laku
15,SEW ENGINEERING SDN BHD.,"Lot 5735, Batu 5 1/2, Jalan Kuala Sawah,70300 Seremban, Negeri Sembilan.",BKA654N010J024,20-Sep-23,A,(12)Jld. 36,03-61866809,fanwaichin@yahoo.com.my,MIGHTY CONSULTANT,IR. HJ. ABDUL RAHMAN BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis Lori Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Negeri Sembilan,Laku
16,SKY UP MACHINERY SDN BHD,"Lot 2106, Sri Senawang Light Industries Centre, Batu 4 1/2, Jalan Tampin, 70450 Seremban, Negeri Sembilan.",BKA642N011J019,29-Sep-16,A,(2)Jld. 128,06-6785970,N/A,SOLID AUTO TECHNIQUE & TRANSAFE CONSULTING ENGINEER,IR. AHMAD ZAINNIE BIN ABU HASSAN & IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Negeri Sembilan,Tamat
17,SUNNY ENGINEERING WORKS,"Lot 5735, Batu 5A 1/2, Jalan Kuala Sawah,70300 Seremban,Negeri Sembilan.",BKA654N012J024,20-Sep-23,A,(14)Jld. 36,03-61866809,N/A,MIGHTY CONSULTANT,IR. HJ. ABDUL RAHMAN BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Negeri Sembilan,Laku
18,SUNUP ENGINEERING WORKS,"Lot 10532, Batu 6 1/4, Jalan Kuala Sawah, 70300 Seremban, Negeri Sembilan.",BKA642N013J019,18-May-11,A,,,,,,,Negeri Sembilan,Tamat
19,SYARIKAT KEJURUTERAAN JUTA,"Lot 4141 Batu 5 1/2, Jalan Kuala Sawah, 70400 Seremban, Negeri Sembilan",BKA654N014J022,30-Sep-22,A,(18)Jld.25,06-6325143,N/A,FCC CONSULTING ENGINEER,DATO IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Tanker, Kargo, Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker S",Negeri Sembilan,Laku
20,SYARIKAT MESIN SAM LIM SDN. BHD.,"Lot 52, Senawang Industrial Estate, Batu 3 1/2, Jalan Tampin, 70450 Seremban, Negeri Sembilan.",BKA654N015J024,20-Sep-23,A,(16)Jld. 36,06-6774352,samlim_8@yahoo.com,MNFF ENGINEERING SERVICES,IR MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Negeri Sembilan,Laku
21,SYSTEM ENHANCEMENT RESOURCES TECHNOLOGIES SDN BHD,"No 3717, Lot 2483, Jalan Haruan 7, Oakland Industrial Park, 70300 Seremban.",BKA642N016J019,8-Jul-15,A,(02)Jld. 115,06-7611295,N/A,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Kenderaan Perdagangan, Iaitu Kenderaan Rigid, Bas, Ambulan, Kenderaan Bagi Kegunaan Ketenteraan, Bomba Sahaja.",Negeri Sembilan,Tamat
22,THIAN WAH MOTOR SDN BHD,"Lot 1247, Bukit Palong, Sebelah Tapak Pelupusan Lukut, Pekan Lukut, 71010 Lukut, Negeri Sembilan Darul Khusus.",BKA654N025J025,21-October-22,A,(04)Jld. 38,06-6511689,Thianwah1689@gmail.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal BagiLori Rigid, Van Dan Treler Sahaja.",Negeri Sembilan,Laku
23,TRAILER HELANG SDN BHD,"No 91, Jalan S2 C3, Green Technology Park, Seremban 2, 70300 Seremban, Negeri Sembilan",BKA642N017J019,11-May-16,B,(22)Jld.122,012-2216394,N/A,FCC CONSULTING ENGINEER,DATO IR. FOONG CHOY CHYE,"AKTIVITI:
Pembinaan Badan Semua Jenis ""Ütility drawbar Trailer 100Kg Dan Ke Bawah"", Pembaikan  Dan Pengubahsuaian Teknikal Bagi Semua Jenis ""Ütility drawbar Trailer 100Kg Dan Ke Bawah"" Sahaja.",Negeri Sembilan,Tamat
24,WENG FATT & CO,"Lot 109, Kawasan Perindustrian Senawang,70450 Seremban,Negeri Sembilan.",BKA654N018J025,13-Jan-24,A,(40)Jld. 40,06-6777292,wengfatt109@oulook.com,MNFF ENGINEERING SERVICES,IR MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Negeri Sembilan,Laku
25,YONMING AUTO (NILAI) SDN. BHD.,"Lot 9136, Jalan Perak 1, Kawasan Perindustrian Nilai 1, 71800 Nilai, Negeri Sembilan.",BKA654N019J022,30-Sep-22,B,(12) Jld.25,06-7971666,ymnl@yonming.com,FCC CONSULTING ENGINEER,DATO IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid, Pengerak Utama, Trailer/Tanker Dan Bas Tersebut Sahaja.",Negeri Sembilan,Laku
1,AGROGROUP SDN BHD,"Lot 7948, Kapung Baru Sempalit, Jalan Lipis,27600 Raub,Pahang",BKA654C001J013,3-Dec-22,A,(16)JLD 39,09-3551118,fra3507t@tm.net.my,PERUNDING USAHA KUKUH,IR ABDUL HADIE BIN ABDULLAH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van Sahaja.",Pahang,Laku
2,AKITA TRUCK & MACHINERY TRADING,"No. 9A, Jalan Industri 1/5, Taman Perindustri Temerloh, 28400 Mentakab, Pahang Darul Makmur.",BKA654C002J013,8-Jul-22,A,(06)JLD 21,09-2961558,akitatruckmachinery@gmail.com,ARZ CONSULTING ENGINEERS SDN BHD,IR. HJ ABDUL RAHMAN BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid, Lori Rigid, Tipper, Box/Luton Van Dan Pick-Up Sahaja.",Pahang,Laku
3,DRB-HICOM DEFENCE TECHNOLOGIES SDN. BHD.,"Lot 142, Kws Perindustrian Peramu Jaya,26007 Pekan, Pahang.",BKA642C003J013,16-Sep-22,A,(14) Jld 24,09-4265700,norashikinar@deftech.com.my,TRANSAFE CONSULTING ENGINEERING,IR. SAIFULA AZIZI BIN MOHAMAD SAAD,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas, Lori, Box/Luton Van Dan Kenderaan Kegunaan Tentera Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Tre",Pahang,Laku
4,FOOK HIN LORRY BODY WORKSHOP,"No. 6 & 8, Jalan Industri 3/3A, Taman Perindustrian Temerloh, 28400 Mentakab, Pahang Darul Makmur.",BKA654C004J013,10-Jan-24,A,(18)Jld.40,09-2770322,fookhin16w68@gmail.com,PERUNDING USAHA KUKUH,IR ABDUL HADIE BIN ABDULLAH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Dan Treler Sahaja.",Pahang,Laku
5,HICOM AUTOMOTIVE MANUFACTURERS (M) SDN BHD.,"DRB0-HICOM Automotive Complex, Peramu Jaya Indutrial Area, 26600 Pekan, Pahang Darul Makmur.",BKA654C005J012,16-Feb-20,A,(02)Jld.7,09-4244055,customerservice@hicom-automotive.com.my,SYM CONSULTING ENGINEER,IR MOHD YUZA BIN MOHD YUSOF,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Treler Dan Traktor Sahaja.",Pahang,Tamat
6,HMB DAVEY ENGINEERING SDN BHD.,"Lot 20D, Jalan Industri, Bentong Industrial Estate, 28700 Bentong, Pahang",BKA654C006J013,10-Mar-23,A,(06)Jld.30,09-2229958,tan.teonglin@rohaseuco.com,TRANSAFE CONSULTING ENGINEERING,IR. MD HISMA BIN HASHIM,"
AKTIVITI:
1. Pembinaan Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.
2. Pembinaan Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Bomba, Ambulans Dan Lori Sahaja.",Pahang,Laku
7,ISUZU HICOM MALAYSIA SDN BHD.,"Peramu Jaya Industrial Area, P.O Box 6, 26607 Pekan, Pahang.",BKA654C012J013,26-Sep-23,A,(22)Jld.36,09-4243800,info@isuzu-hicom.com.my,TRANSAFE CONSULTING ENGINEERING,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Tipper, Box/Luton, Refrigerated Van Dan Pick-Up Sahaja.
2. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Trailer/Tanker Sahaja.",Pahang,Laku
8,LEE VEHICLE BODY WORKS & TRADING.,"No. 28 Jalan Ind. Semambu 9/3 Kawasan Perindustrian Semambu,25350 Kuantan, Pahang",BKA654C007J013,28-Dec-22,A,(30)Jld.36,09-5664425,leevehicle@outlook.com,MNFF ENGINEERING SERVICES,IR MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Kargo, Tipper, Box/Luton, Refrigerated Van Dan Pick-Up Sahaja.",Pahang,Laku
9,MUNWILSENG ENGINEERING SDN. BHD.,"Lot 1394 & 1395, Batu 3,Jalan Mentakab, 28000 Temerloh, Pahang.",BKA654C008J013,22-Nov-23,A,(10)Jld.39,09-2771511,munwilseng@hotmail.com,MNFF ENGINEERING SERVICES,IR MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Tipper, Box/Luton Van, Refrigerated Van, Pick-Up Dan Trailer Sahaja.",Pahang,Laku
10,OFFIMO MARKETING SDN BHD.,"Lot 4665, Mukim Sabai, Batu 19, Jalan Karak-Manchis, 28620 Karak, Pahang.",BKA654C013J013,26-Sep-23,A,(24)Jld.36,03-21459509,offimi@booncheah.com.my,ARZ CONSULTING ENGINEERS SDN BHD,IR. HJ. ABDUL RAHMAN BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Treler Dan Tanker Sahaja.",Pahang,Laku
11,SIM WIN LEE SDN BHD.,"Lot 34410, Jalan Pintasan Kuantan, Kampung Pandan 2, 26070 Kuantan,Pahang.",BKA642C009J013,16-Sep-22,A,(18) JLD 24,09-5381688,simwinlee2008@gmail.com,MENARA TEKNIK,IR. MOHAMAD MOHAIDIN BIN AB. LATIB,"type here

AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Kenderaan Decontrolled Sahaja.
2. Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.",Pahang,Laku
12,TONG MAH VEHICLES BODY WORKS,"A-645, Jalan Tanjung Api, 25050 Kuantan, Pahang.",BKA642C010J012,24-Jun-16,A,(22)JLD. 124,09-5177354,N/A,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVTI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori dan Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Pahang,Tamat
13,TTS ENGINEERING SDN. BHD.,"No. 1/3485, Batu 3 ½ Jalan Gambang,25250 Kuantan, Pahang.",BKA654C011J013,3-Aug-22,A,(06)JLD. 22,09-5361088,jueyin@ttsgroup.com.my,RAZALIONE CONSULTING ENGINEER,IR.WAN SAPIANSORI B WAN ABD GHANI,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Pahang,Laku
1,BAN LIAN INDUSTRIES MACHINERY SDN. BHD.,"Lot 59152, Kawasan Perusahan Pengkala Pegoh, 31511 Lahat, Perak.",BKA654A001J037,27-August-22,A,(10)Jld.23,017-5003266,mybanlian@yahoo.com,MOKHTAR CONSULT & ASSOCIATES,IR. TAN ENG TONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan, Pengubahsuaian Teknikal Bagi Semua Lori Rigid Decontrolled, Treler, Tanker Dan Van Sahaja.",Perak,Laku
2,B&F TRADING SDN. BHD.,"Lot No 35384, Jalan Gopeng (8KM),31300 Ipoh Perak.",BKA654A002J037,28-Dec-22,B,(18)Jld.28,05-3127777,info@bnfgroup.net,T & L ASSOCIATES,IR.HJ. RAMLI BIN HJ. HITAM,"AKTIVITI:
1. Pembaikan, Pembaikpulih Dan Pengubahsuaian Teknikal Bagi Semua Jenis Jentera Berat Seperti Hydraulic, Excavator, Wheel Loader, Motor Grades, Backhoe Loader, Road Paver, Rollers, Concrete Mixer, Dozers Mobile, Crawler Cranes, Tractor And Crawl",Perak,Laku
3,B.M.I ENGINEERING SDN BHD,"No. 20 Persiaran Industri Rapat 1,Kawasan Perindustrian Ringan Seri Rapat,31350 Ipoh, Perak",BKA654A003J037,14-Mar-24,A,(06) Jld. 42,05-3129962,bmiengin@gmail.com,MENARA TEKNIK,IR. HJ. MOHAMAD MOHAIDIN BIN AB. LATIB,"type here

AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid Dan Trailer Sahaja.
",Perak,Laku
4,BUDGET GAINS SDN BHD,"Batu 10 3/4, Jalan Sungai Siput (U), Kanthan Baru, 31200 Chemor, Perak.",BKA642A004J035,29-Aug-19,A,(18)Jld.154,05-2918333,budget_gains@hotmail.com,TRANSAFE CONSULTING ENGINEER,IR. MD. HISMA BIN HASHIM,"Aktiviti:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Van Dan Kenderaan Decontrolled Sahaja.
2. Membina Semua Jenis Trailer/Tanker Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Trailer/Tan",Perak,Tamat
5,C K L ENGINEERING (M) SDN. BHD.,"Plot 94 (PT 101934), TGB Internasional Industrial Park,Jalan Kuala Kangsar, 31200 Ipoh, Perak.",BKA654A005J037,10-Nov-23,A,(44)Jld.38,05-2912896,N/A,MOKHTAR CONSULT & ASSOCIATES,IR. TAN ENG TONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Decontorolled Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru Dan Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Perak,Laku
